Entity,Code,Day,people_vaccinated,145608-annotations
Argentina,ARG,2021-08-24,28127351,
Argentina,ARG,2021-08-25,28202394,
Argentina,ARG,2021-08-26,28275243,
Argentina,ARG,2021-08-27,28352886,
Argentina,ARG,2021-08-28,28395446,
Argentina,ARG,2021-08-29,28417417,
Argentina,ARG,2021-08-30,28509766,
Argentina,ARG,2021-08-31,28606622,
Argentina,ARG,2021-09-01,28689220,
Argentina,ARG,2021-09-02,28768254,
Argentina,ARG,2021-09-03,28833513,
Argentina,ARG,2021-09-04,28873040,
Argentina,ARG,2021-09-05,28889818,
Argentina,ARG,2021-09-06,28941529,
Argentina,ARG,2021-09-07,28996055,
Argentina,ARG,2021-09-08,29055064,
Argentina,ARG,2021-09-09,29104942,
Argentina,ARG,2021-09-10,29154708,
Argentina,ARG,2021-09-11,29180399,
Argentina,ARG,2021-09-12,29182878,
Argentina,ARG,2021-09-13,29234846,
Argentina,ARG,2021-09-14,29281344,
Argentina,ARG,2021-09-15,29317044,
Argentina,ARG,2021-09-16,29355798,
Argentina,ARG,2021-09-17,29405177,
Argentina,ARG,2021-09-18,29438734,
Argentina,ARG,2021-09-19,29458747,
Argentina,ARG,2021-09-20,29506054,
Argentina,ARG,2021-09-21,29555865,
Argentina,ARG,2021-09-22,29613176,
Argentina,ARG,2021-09-23,29783902,
Argentina,ARG,2021-09-24,29854749,
Argentina,ARG,2021-09-25,29886494,
Argentina,ARG,2021-09-26,29899595,
Argentina,ARG,2021-09-27,29954161,
Argentina,ARG,2021-09-28,30014199,
Argentina,ARG,2021-09-29,30065001,
Argentina,ARG,2021-09-30,30133725,
Argentina,ARG,2021-10-01,30196250,
Argentina,ARG,2021-10-02,30223653,
Argentina,ARG,2021-10-03,30245349,
Argentina,ARG,2021-10-04,30311124,
Argentina,ARG,2021-10-05,30420326,
Argentina,ARG,2021-10-06,30485487,
Argentina,ARG,2021-10-07,30574800,
Argentina,ARG,2021-10-08,30603818,
Argentina,ARG,2021-10-09,30617929,
Argentina,ARG,2021-10-10,30629067,
Argentina,ARG,2021-10-11,30647356,
Argentina,ARG,2021-10-12,30867367,
Argentina,ARG,2021-10-13,31129652,
Argentina,ARG,2021-10-14,31401765,
Argentina,ARG,2021-10-15,31665817,
Argentina,ARG,2021-10-16,31800295,
Argentina,ARG,2021-10-17,31852333,
Argentina,ARG,2021-10-18,32152004,
Argentina,ARG,2021-10-19,32465892,
Argentina,ARG,2021-10-20,32784812,
Argentina,ARG,2021-10-21,33073456,
Argentina,ARG,2021-10-22,33422481,
Argentina,ARG,2021-10-23,33580996,
Argentina,ARG,2021-10-24,33703416,
Argentina,ARG,2021-10-25,33955265,
Argentina,ARG,2021-10-26,34220984,
Argentina,ARG,2021-10-27,34455021,
Argentina,ARG,2021-10-28,34685182,
Argentina,ARG,2021-10-29,34888732,
Argentina,ARG,2021-10-30,34962315,
Argentina,ARG,2021-10-31,35080620,
Argentina,ARG,2021-11-01,35261743,
Argentina,ARG,2021-11-02,35389118,
Argentina,ARG,2021-11-03,35530813,
Argentina,ARG,2021-11-04,35703229,
Argentina,ARG,2021-11-05,35842977,
Argentina,ARG,2021-11-06,35905368,
Argentina,ARG,2021-11-07,35964593,
Argentina,ARG,2021-11-08,36076213,
Argentina,ARG,2021-11-09,36237121,
Argentina,ARG,2021-11-10,36328305,
Argentina,ARG,2021-11-11,36425380,
Argentina,ARG,2021-11-12,36511021,
Argentina,ARG,2021-11-13,36547916,
Argentina,ARG,2021-11-14,36550127,
Argentina,ARG,2021-11-15,36603710,
Argentina,ARG,2021-11-16,36664494,
Argentina,ARG,2021-11-17,36724678,
Argentina,ARG,2021-11-18,36789670,
Argentina,ARG,2021-11-19,36847307,
Argentina,ARG,2021-11-20,36884009,
Argentina,ARG,2021-11-21,36902714,
Argentina,ARG,2021-11-22,36928624,
Argentina,ARG,2021-11-23,37002287,
Argentina,ARG,2021-11-24,37073295,
Argentina,ARG,2021-11-25,37130990,
Argentina,ARG,2021-11-26,37193929,
Argentina,ARG,2021-11-27,37229929,
Argentina,ARG,2021-11-28,37244915,
Argentina,ARG,2021-11-29,37310220,
Argentina,ARG,2021-11-30,37382655,
Argentina,ARG,2021-12-01,37465563,
Argentina,ARG,2021-12-02,37545053,
Argentina,ARG,2021-12-03,37615406,
Argentina,ARG,2021-12-04,37647273,
Argentina,ARG,2021-12-05,37666412,
Argentina,ARG,2021-12-06,37733373,
Argentina,ARG,2021-12-07,37799745,
Argentina,ARG,2021-12-08,37826302,
Argentina,ARG,2021-12-09,37882232,
Argentina,ARG,2021-12-10,37936594,
Argentina,ARG,2021-12-11,37965515,
Argentina,ARG,2021-12-12,37978921,
Argentina,ARG,2021-12-13,38033411,
Argentina,ARG,2021-12-14,38094357,
Argentina,ARG,2021-12-15,38149752,
Argentina,ARG,2021-12-16,38205894,
Argentina,ARG,2021-12-17,38256635,
Argentina,ARG,2021-12-18,38281109,
Argentina,ARG,2021-12-19,38293579,
Argentina,ARG,2021-12-20,38344349,
Argentina,ARG,2021-12-21,38404025,
Argentina,ARG,2021-12-22,38462803,
Argentina,ARG,2021-12-23,38503595,
Argentina,ARG,2021-12-24,38505919,
Argentina,ARG,2021-12-25,38506089,
Argentina,ARG,2021-12-26,38517534,
Argentina,ARG,2021-12-27,38592677,
Argentina,ARG,2021-12-28,38669047,
Argentina,ARG,2021-12-29,38745409,
Argentina,ARG,2021-12-30,38808426,
Argentina,ARG,2021-12-31,38812641,
Argentina,ARG,2022-01-01,38813296,
Argentina,ARG,2022-01-02,38827977,
Argentina,ARG,2022-01-03,38902252,
Argentina,ARG,2022-01-04,38987059,
Argentina,ARG,2022-01-05,39075853,
Argentina,ARG,2022-01-06,39169635,
Argentina,ARG,2022-01-07,39262198,
Argentina,ARG,2022-01-08,39301773,
Argentina,ARG,2022-01-09,39323375,
Argentina,ARG,2022-01-10,39404494,
Argentina,ARG,2022-01-11,39476514,
Argentina,ARG,2022-01-12,39545737,
Argentina,ARG,2022-01-13,39607908,
Argentina,ARG,2022-01-14,39660995,
Argentina,ARG,2022-01-15,39680759,
Argentina,ARG,2022-01-16,39693079,
Argentina,ARG,2022-01-17,39747231,
Argentina,ARG,2022-01-18,39795812,
Argentina,ARG,2022-01-19,39842222,
Argentina,ARG,2022-01-20,39888302,
Argentina,ARG,2022-01-21,39931205,
Argentina,ARG,2022-01-22,39949073,
Argentina,ARG,2022-01-23,39959202,
Argentina,ARG,2022-01-24,40003904,
Argentina,ARG,2022-01-25,40045656,
Argentina,ARG,2022-01-26,40085846,
Argentina,ARG,2022-01-27,40129402,
Argentina,ARG,2022-01-28,40169352,
Argentina,ARG,2022-01-29,40185603,
Argentina,ARG,2022-01-30,40194106,
Argentina,ARG,2022-01-31,40233284,
Argentina,ARG,2022-02-01,40271873,
Argentina,ARG,2022-02-02,40305815,
Argentina,ARG,2022-02-03,40336382,
Argentina,ARG,2022-02-04,40370466,
Argentina,ARG,2022-02-05,40381884,
Argentina,ARG,2022-02-06,40389188,
Argentina,ARG,2022-02-07,40422440,
Argentina,ARG,2022-02-08,40455551,
Argentina,ARG,2022-02-09,40488230,
Argentina,ARG,2022-02-10,40518059,
Argentina,ARG,2022-02-11,40543109,
Argentina,ARG,2022-02-12,40553562,
Argentina,ARG,2022-02-13,40559324,
Argentina,ARG,2022-02-14,40585413,
Argentina,ARG,2022-02-15,40611706,
Argentina,ARG,2022-02-16,40637452,
Argentina,ARG,2022-02-17,40663474,
Argentina,ARG,2022-02-18,40688387,
Argentina,ARG,2022-02-19,40695905,
Argentina,ARG,2022-02-20,40699176,
Argentina,ARG,2022-02-21,40723258,
Argentina,ARG,2022-02-22,40748587,
Argentina,ARG,2022-02-23,40773132,
Argentina,ARG,2022-02-24,40792447,
Argentina,ARG,2022-02-25,40814796,
Argentina,ARG,2022-02-26,40820859,
Argentina,ARG,2022-02-27,40823388,
Argentina,ARG,2022-02-28,40827298,
Argentina,ARG,2022-03-01,40831293,
Argentina,ARG,2022-03-02,40844717,
Argentina,ARG,2022-03-03,40856791,
Argentina,ARG,2022-03-04,40869068,
Argentina,ARG,2022-03-05,40873044,
Argentina,ARG,2022-03-06,40874935,
Argentina,ARG,2022-03-07,40885354,
Argentina,ARG,2022-03-08,40892515,
Argentina,ARG,2022-03-09,40900116,
Argentina,ARG,2022-03-10,40911110,
Argentina,ARG,2022-03-11,40920536,
Argentina,ARG,2022-03-12,40923842,
Argentina,ARG,2022-03-13,40925169,
Argentina,ARG,2022-03-14,40933947,
Argentina,ARG,2022-03-15,40942370,
Argentina,ARG,2022-03-16,40950686,
Argentina,ARG,2022-03-17,40958593,
Argentina,ARG,2022-03-18,40965694,
Argentina,ARG,2022-03-19,40968491,
Argentina,ARG,2022-03-20,40969475,
Argentina,ARG,2022-03-21,40975767,
Argentina,ARG,2022-03-22,40982126,
Argentina,ARG,2022-03-23,40988827,
Argentina,ARG,2022-03-24,40989891,
Argentina,ARG,2022-03-25,40995558,
Argentina,ARG,2022-03-26,40997683,
Argentina,ARG,2022-03-27,40998465,
Argentina,ARG,2022-03-28,41004266,
Argentina,ARG,2022-03-29,41009666,
Argentina,ARG,2022-03-30,41014288,
Argentina,ARG,2022-03-31,41019438,
Argentina,ARG,2022-04-01,41024424,
Argentina,ARG,2022-04-02,41025770,
Argentina,ARG,2022-04-03,41026486,
Argentina,ARG,2022-04-04,41030881,
Argentina,ARG,2022-04-05,41035275,
Argentina,ARG,2022-04-06,41039611,
Argentina,ARG,2022-04-07,41043306,
Argentina,ARG,2022-04-08,41047102,
Argentina,ARG,2022-04-09,41048577,
Argentina,ARG,2022-04-10,41049179,
Argentina,ARG,2022-04-11,41052357,
