Fecha,Casos (nuevos),Muertes (nuevos),Vacunados (nuevos-full),Cantidad de habitantes
2021-03-27,10338.0,133.0,55095.0,45510324.0
2021-03-28,7208.0,81.0,20828.0,45510324.0
2021-03-29,14014.0,162.0,120201.0,45510324.0
2021-03-30,10154.0,125.0,163038.0,45510324.0
2021-03-31,16056.0,122.0,174975.0,45510324.0
2021-04-01,14430.0,83.0,117153.0,45510324.0
2021-04-02,9902.0,82.0,68164.0,45510324.0
2021-04-03,10384.0,83.0,74476.0,45510324.0
2021-04-04,9955.0,93.0,48488.0,45510324.0
2021-04-05,13667.0,272.0,166008.0,45510324.0
2021-04-06,20870.0,163.0,194025.0,45510324.0
2021-04-07,22039.0,198.0,238453.0,45510324.0
2021-04-08,23683.0,290.0,235986.0,45510324.0
2021-04-09,24130.0,228.0,240418.0,45510324.0
2021-04-10,19419.0,297.0,92949.0,45510324.0
2021-04-11,15262.0,132.0,48316.0,45510324.0
2021-04-12,19437.0,178.0,181825.0,45510324.0
2021-04-13,27001.0,217.0,186082.0,45510324.0
2021-04-14,25157.0,368.0,171702.0,45510324.0
2021-04-15,24999.0,383.0,151119.0,45510324.0
2021-04-16,29472.0,159.0,123735.0,45510324.0
2021-04-17,19119.0,80.0,45721.0,45510324.0
2021-04-18,16267.0,64.0,19905.0,45510324.0
2021-04-19,20461.0,248.0,90501.0,45510324.0
2021-04-20,29145.0,316.0,122738.0,45510324.0
2021-04-21,25932.0,291.0,173983.0,45510324.0
2021-04-22,27216.0,537.0,178212.0,45510324.0
2021-04-23,27884.0,556.0,194579.0,45510324.0
2021-04-24,21220.0,298.0,92236.0,45510324.0
2021-04-25,15012.0,170.0,49321.0,45510324.0
2021-04-26,18793.0,443.0,172136.0,45510324.0
2021-04-27,25495.0,512.0,153765.0,45510324.0
2021-04-28,23718.0,348.0,159022.0,45510324.0
2021-04-29,26053.0,561.0,156290.0,45510324.0
2021-04-30,22420.0,357.0,114968.0,45510324.0
2021-05-01,16502.0,231.0,20306.0,45510324.0
2021-05-02,11394.0,156.0,40178.0,45510324.0
2021-05-03,15920.0,540.0,174732.0,45510324.0
2021-05-04,26238.0,410.0,232069.0,45510324.0
2021-05-05,24079.0,663.0,245026.0,45510324.0
2021-05-06,24086.0,398.0,202828.0,45510324.0
2021-05-07,22552.0,609.0,205394.0,45510324.0
2021-05-08,18024.0,170.0,74284.0,45510324.0
2021-05-09,11582.0,283.0,18699.0,45510324.0
2021-05-10,17381.0,496.0,141683.0,45510324.0
2021-05-11,25976.0,490.0,140464.0,45510324.0
2021-05-12,24475.0,496.0,197630.0,45510324.0
2021-05-13,26531.0,447.0,192165.0,45510324.0
2021-05-14,27363.0,599.0,196527.0,45510324.0
2021-05-15,21469.0,400.0,95098.0,45510324.0
2021-05-16,16350.0,269.0,67600.0,45510324.0
2021-05-17,28680.0,505.0,186974.0,45510324.0
2021-05-18,35543.0,744.0,198277.0,45510324.0
2021-05-19,39652.0,494.0,167745.0,45510324.0
2021-05-20,35884.0,434.0,182618.0,45510324.0
2021-05-21,35468.0,692.0,177295.0,45510324.0
2021-05-22,32171.0,297.0,100451.0,45510324.0
2021-05-23,24801.0,375.0,45273.0,45510324.0
2021-05-24,22651.0,417.0,88376.0,45510324.0
2021-05-25,24601.0,576.0,63426.0,45510324.0
2021-05-26,35399.0,532.0,153127.0,45510324.0
2021-05-27,41080.0,547.0,169431.0,45510324.0
2021-05-28,39207.0,558.0,246116.0,45510324.0
2021-05-29,29841.0,415.0,227507.0,45510324.0
2021-05-30,21346.0,348.0,128845.0,45510324.0
2021-05-31,28175.0,637.0,299028.0,45510324.0
2021-06-01,35355.0,640.0,314952.0,45510324.0
2021-06-02,35017.0,587.0,309383.0,45510324.0
2021-06-03,32291.0,553.0,349678.0,45510324.0
2021-06-04,30950.0,538.0,408213.0,45510324.0
2021-06-05,23627.0,456.0,326832.0,45510324.0
2021-06-06,16415.0,347.0,217367.0,45510324.0
2021-06-07,22195.0,732.0,353192.0,45510324.0
2021-06-08,31137.0,721.0,369950.0,45510324.0
